Name,Symbol,Sector,Industry,Yrs,Seq,DR,SP,Price,Yield,Dividend,Year,Annualized,Sch,Payout,Ex-Div,Pay,Inc.,1-yr,3-yr,5-yr,10-yr,A/D*,DEG,Notes,Payout,P/E,Month,EPS,PEG,P/Sales,P/Book,ROE,Growth,Growth,Growth,Growth,($Mil),Own.,Equity,Factor,Rule,Graham,2019,2020,2021,2022,2023,$,%,Beta,Low,High,MMA,MMA,OTC,Began,Survived,ROA
Cummins Inc.,CMI,Industrials,Machinery,13,290,N,N,147.11,3.10,1.1400,4,4.56,C01,1.0800,8-21-18,9-4-18,5.56,5.5 ,8.1 ,14.6 ,22.2 ,0.657 ,3.467,,34.26,11.05,12,13.31,0.94,1.03,3.30,17.70,29.30,12.94,4.20,11.70,"23,730",0.1,0.34,6.6 ,17.7 ,27.3 ,4.88,5.37,5.91,6.50,7.15,29.82,20.3,1.13 ,18.3,-23.1,5.1,3.0,,2006,1,6.9
Digital Realty Trust,DLR,Real Estate,Equity Real Estate Investment Trusts (REITs),14,259,-,-,108.34,3.73,1.0100,4,4.04,C30,0.9300,3-14-18,3-30-18,8.60,6.5 ,5.2 ,4.9 ,12.3 ,0.397 ,n/a,,306.06,82.08,12,1.32,n/a,7.44,2.54,3.00,-55.10,-9.33,-7.70,-4.51,"22,330",0.1,1.05,(73.5),8.6 ,204.4 ,4.00,4.04,4.08,4.12,4.16,20.40,18.8,0.52 ,12.2,-13.4,-0.4,-3.1,,2005,1,1.3
Dominion Energy Inc.,D,Utilities,Multi-Utilities,16,228,N,Y,70.24,5.22,0.9175,4,3.67,C20,0.8350,3-20-19,2-28-19,9.88,10.0 ,8.8 ,8.2 ,7.8 ,1.058 ,1.305,,105.46,20.18,12,3.48,3.08,4.00,2.49,17.50,-1.80,4.01,6.30,6.54,"52,800",0.3,2.07,(6.7),13.4 ,49.5 ,3.37,3.51,3.74,3.98,4.24,18.85,26.8,0.22 ,14.2,-9.0,-3.1,0.6,,2004,1,4
Donegal Group Inc. A,DGICA,Financials,Insurance,16,206,N,N,13.17,4.33,0.1425,4,0.57,B15,0.1400,4-30-18,5-15-18,1.79,1.8 ,1.9 ,2.4 ,3.4 ,0.688 ,n/a,,n/a,n/a,12,-0.74,n/a,0.47,0.90,-4.80,-78.20,312.80,-22.60,10.00,364,1.2,0.16,n/a,6.7 ,n/a,0.57,0.63,0.69,0.76,0.84,3.50,26.6,0.35 ,3.4,-26.2,-4.5,-5.9,,2003,1,-1.2
Donegal Group Inc. B,DGICB,Financials,Insurance,16,207,-,-,12.06,4.15,0.1250,4,0.50,B15,0.1225,4-30-18,5-15-18,2.04,2.1 ,2.0 ,1.8 ,3.4 ,0.525 ,n/a,,n/a,n/a,12,-0.76,n/a,0.43,0.81,-4.75,n/a,n/a,n/a,n/a,335,17.4,0.16,n/a,5.9 ,n/a,0.51,0.53,0.54,0.56,0.58,2.72,22.6,0.02 ,4.7,-22.4,-0.4,-8.5,,2003,1,-1.16
DTE Energy Company,DTE,Utilities,Multi-Utilities,10,330,Y,Y,117.75,3.21,0.9450,4,3.78,A15,0.8825,12-14-18,1-15-19,7.08,6.9 ,8.0 ,6.7 ,5.2 ,1.284 ,0.545,,50.87,15.85,12,7.43,2.89,1.58,2.10,12.30,42.50,-1.41,12.30,5.49,"21,680",0.1,1.34,(5.9),9.9 ,21.6 ,3.88,3.92,4.13,4.36,4.60,20.90,17.7,0.28 ,24.9,-2.7,2.7,7.8,,2010,0,3.5
Duke Energy Corp.,DUK,Utilities,Electric Utilities,14,270,N,N,87.78,4.23,0.9275,4,3.71,C18,0.8900,8-16-18,9-17-18,4.21,4.2 ,3.9 ,3.3 ,3.0 ,1.095 ,0.380,,93.69,22.17,12,3.96,5.03,2.61,1.46,6.90,13.90,4.38,8.70,4.41,"63,200",0.1,1.32,(14.6),7.5 ,19.9 ,4.00,4.17,4.36,4.55,4.75,21.84,24.9,0.03 ,22.0,-3.9,1.0,7.6,,2005,1,2.1
Eagle Bancorp Montana Inc.,EBMT,Financials,Banks,19,171,-,-,17.75,2.08,0.0925,4,0.37,C01,0.0900,8-16-18,9-7-18,2.78,7.4 ,6.2 ,4.8 ,3.4 ,1.400 ,0.165,,41.11,19.72,6,0.90,1.97,3.51,1.05,4.60,-11.70,71.35,29.00,10.00,116,3.1,0.27,(12.8),6.9 ,(4.1),0.37,0.41,0.45,0.49,0.54,2.25,12.7,0.45 ,25.0,-16.5,4.6,-3.9,,2000,2,0.5
Edison International,EIX,Utilities,Electric Utilities,16,224,N,N,56.97,4.30,0.6125,4,2.45,A31,0.6050,12-28-18,1-31-19,1.24,11.5 ,13.2 ,12.4 ,7.1 ,1.747 ,n/a,,86.27,20.06,12,2.84,5.35,1.44,1.54,3.90,-20.20,8.09,-7.40,3.75,"18,570",0.1,1.22,(3.4),16.7 ,17.2 ,2.44,2.64,2.74,2.84,2.95,13.62,23.9,(0.03),25.2,-19.8,1.3,-9.7,,2004,1,0.9
Enbridge Inc.,ENB,Energy,"Oil, Gas & Consumable Fuels",23,150,N,N,36.62,6.12,0.5600,4,2.24,C01,0.5100,2-14-19,3-1-19,9.80,11.4 ,12.2 ,10.9 ,12.8 ,0.855 ,n/a,"@,Canada",n/a,n/a,12,-0.20,n/a,2.05,1.57,3.10,-83.70,-7.53,-18.30,7.83,"73,100",9.2,1.20,n/a,17.0 ,n/a,2.09,2.12,2.28,2.46,2.65,11.60,31.7,0.61 ,27.1,-0.9,10.8,10.4,,1997,2,1
Energy Transfer LP,ET,Energy,"Oil, Gas & Consumable Fuels",13,283,-,-,14.71,8.29,0.3050,4,1.22,B20,0.2950,2-7-18,2-20-18,3.39,6.1 ,6.1 ,13.4 ,9.6 ,1.390 ,n/a,,n/a,n/a,12,-0.37,n/a,0.71,n/a,-99.70,-149.40,3.74,-30.10,21.48,"37,910",2.8,n/a,n/a,21.6 ,n/a,1.23,1.28,1.41,1.55,1.70,7.16,48.7,1.74 ,25.9,-23.4,4.3,-10.0,,2006,1,1.6
Ensign Group Inc.,ENSG,Health Care,Health Care Providers & Services,12,304,-,-,43.57,0.44,0.0475,4,0.19,A31,0.0450,12-28-18,1-31-19,5.56,7.4 ,6.8 ,19.9 ,15.0 ,1.332 ,n/a,,12.67,29.05,12,1.50,1.93,1.12,4.04,14.60,-12.40,14.04,-2.50,15.00,"2,240",1.2,0.46,(8.7),20.4 ,128.4 ,0.18,0.20,0.22,0.25,0.27,1.13,2.6,0.86 ,101.1,-11.0,3.1,14.2,,2008,1,6.9
Enterprise Products Partners LP,EPD,Energy,"Oil, Gas & Consumable Fuels",22,156,N,-,27.67,6.29,0.4350,4,1.74,B08,0.4325,1-30-19,2-8-19,0.58,2.9 ,4.4 ,4.9 ,5.3 ,0.925 ,n/a,,104.19,16.57,12,1.67,1.78,1.67,2.62,16.00,29.90,7.53,-0.90,9.32,"59,590",0.2,1.12,(5.4),11.2 ,38.9 ,1.89,2.03,2.22,2.43,2.65,11.21,40.5,0.92 ,21.7,-7.9,5.4,-0.2,,1998,2,6.5
Equity LifeStyle Properties,ELS,Real Estate,Equity Real Estate Investment Trusts (REITs),14,261,N,N,105.88,2.08,0.5500,4,2.20,A13,0.4875,3-29-18,4-13-18,12.82,13.3 ,13.8 ,17.2 ,19.0 ,0.902 ,0.536,,99.10,47.69,12,2.22,4.11,9.78,8.44,19.70,12.90,12.22,32.00,11.60,"9,410",1.7,2.05,(28.5),19.2 ,323.0 ,2.35,2.59,2.85,3.13,3.44,14.36,13.6,0.31 ,32.7,1.3,7.0,12.4,,2005,1,5.6
Essex Property Trust,ESS,Real Estate,Equity Real Estate Investment Trusts (REITs),24,136,N,Y,271.20,2.74,1.8600,4,7.44,A16,1.7500,3-28-18,4-16-18,6.29,7.0 ,9.3 ,9.2 ,6.3 ,1.460 ,0.558,,131.22,47.83,12,5.67,6.06,12.81,2.84,5.90,4.50,-5.13,16.40,7.90,"17,830",0.1,0.89,(35.9),11.9 ,145.7 ,7.66,7.74,8.35,9.01,9.72,42.47,15.7,0.47 ,26.7,-1.9,6.3,10.8,,1995,2,3
Evercore Partners Inc.,EVR,Financials,Capital Markets,12,296,-,-,89.45,2.24,0.5000,4,2.00,C08,0.4000,5-24-18,6-8-18,25.00,33.8 ,18.2 ,15.9 ,14.7 ,1.075 ,0.340,,26.74,11.96,12,7.48,0.83,2.26,5.48,32.60,146.40,1.49,46.60,14.50,"4,190",0.5,0.29,6.1 ,18.1 ,70.7 ,2.09,2.12,2.33,2.57,2.82,11.93,13.3,1.77 ,39.0,-23.9,14.4,-7.2,,2007,1,12.3
Evergy Inc,EVRG,Utilities,Electric Utilities,14,278,-,-,57.32,3.31,0.4750,4,1.90,C12,0.4600,11-28-18,12-20-18,3.26,9.8 ,6.7 ,5.0 ,4.3 ,1.164 ,4.537,Merger of WR and GXP,76.92,23.21,12,2.47,2.52,4.14,1.44,7.50,-6.60,14.73,1.10,9.20,"15,200",0.2,0.78,(14.9),8.3 ,21.9 ,1.75,1.93,2.10,2.30,2.51,10.59,18.5,0.30 ,21.8,-6.2,-1.1,2.1,,2005,1,2.9
Eversource Energy,ES,Utilities,Electric Utilities,20,165,N,Y,69.41,2.91,0.5050,4,2.02,C31,0.4750,3-5-18,3-30-18,6.32,6.3 ,6.5 ,6.6 ,9.4 ,0.701 ,0.631,,61.77,21.23,12,3.27,3.64,2.68,1.93,9.20,5.00,6.31,10.40,5.83,"22,380",0.2,1.25,(11.8),9.5 ,34.9 ,2.12,2.25,2.39,2.53,2.67,11.96,17.2,0.31 ,31.6,-1.6,3.7,12.2,,1999,2,2.8
Expeditors International,EXPD,Industrials,Air Freight & Logistics,24,138,-,-,69.30,1.30,0.4500,2,0.90,JnDe,0.4200,5-31-18,6-15-18,7.14,7.1 ,7.7 ,8.4 ,10.9 ,0.775 ,0.889,,28.30,21.79,12,3.18,1.78,1.54,6.14,31.00,5.10,3.42,9.50,12.20,"12,020",0.1,0.00,(12.0),9.7 ,143.9 ,0.95,0.98,1.08,1.18,1.30,5.49,7.9,0.76 ,17.3,-11.3,-1.0,-3.0,,1995,2,18.9
Factset Research System Inc.,FDS,Financials,Capital Markets,20,166,-,-,218.63,1.17,0.6400,4,2.56,C20,0.5600,5-30-18,6-19-18,14.29,13.8 ,13.2 ,12.8 ,14.2 ,0.902 ,1.182,,32.95,28.14,8,7.77,2.39,6.05,15.40,50.80,14.10,9.83,10.80,11.75,"8,300",1.7,1.06,(14.2),13.9 ,338.8 ,2.73,3.00,3.30,3.63,3.99,16.63,7.6,1.05 ,18.5,-8.1,1.8,2.9,,1999,2,19.8
Farmers and Merchants Bancorp,FMAO,Financials,Banks,15,253,-,-,31.53,1.90,0.1500,4,0.60,A20,0.1400,12-28-18,1-20-19,7.14,11.3 ,7.9 ,6.2 ,5.0 ,1.225 ,1.085,,36.59,19.23,12,1.64,n/a,6.26,2.08,11.00,8.70,16.67,5.70,n/a,283,3.5,0.00,(11.1),8.1 ,33.3 ,0.59,0.65,0.67,0.68,0.71,3.29,10.4,0.22 ,5.9,-36.9,-15.6,-24.6,,2005,1,1.4
Fastenal Company,FAST,Industrials,Trading Companies & Distributors,20,169,-,-,60.46,2.84,0.4300,4,1.72,B27,0.4000,1-31-19,2-27-19,7.50,20.3 ,11.2 ,14.0 ,19.5 ,0.719 ,2.221,,65.40,22.99,12,2.63,1.21,3.49,7.49,30.90,11.30,7.81,6.30,19.00,"17,350",0.1,0.17,(6.1),16.8 ,176.6 ,1.69,1.83,2.01,2.21,2.43,10.17,16.8,1.13 ,27.6,-1.1,9.2,11.0,,2000,2,22.3
FedEx Corp.,FDX,Industrials,Air Freight & Logistics,17,188,Y,Y,177.57,1.46,0.6500,4,2.60,A06,0.5000,6-22-18,7-9-18,30.00,27.8 ,36.7 ,31.7 ,18.3 ,1.738 ,6.609,,22.91,15.64,5,11.35,1.61,0.67,2.41,25.90,-2.30,12.19,4.80,9.71,"46,020",5.7,0.90,17.5 ,33.2 ,29.5 ,2.32,2.56,2.80,3.08,3.37,14.13,8.0,1.63 ,17.6,-33.5,-5.1,-21.9,,2002,1,9.5
First Farmers Financial Corp.,FFMR,Financials,Banks,12,301,-,-,41.45,2.70,0.2800,4,1.12,A13,0.2700,12-28-18,1-15-19,3.70,36.6 ,16.1 ,18.3 ,12.7 ,1.444 ,n/a,,n/a,n/a,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,21.0 ,n/a,0.94,0.97,1.00,1.03,1.06,5.00,12.1,n/a,n/a,n/a,n/a,n/a,OTC,2008,1,n/a
First of Long Island Corp.,FLIC,Financials,Banks,23,148,N,N,20.72,3.28,0.1700,4,0.68,A20,0.1500,10-9-18,10-19-18,13.33,8.8 ,6.5 ,6.7 ,8.3 ,0.806 ,0.855,,43.04,13.11,12,1.58,1.88,3.96,1.38,10.60,9.80,4.58,7.80,7.00,525,3.1,1.06,(3.2),10.0 ,(10.3),0.68,0.71,0.76,0.82,0.87,3.84,18.5,0.66 ,18.2,-30.1,1.0,-8.9,,1997,2,0.9
Flowers Foods,FLO,Consumer Staples,Food Products,17,185,N,Y,19.66,3.66,0.1800,4,0.72,C23,0.1700,6-6-18,6-21-18,5.88,6.0 ,7.8 ,9.8 ,10.8 ,0.914 ,n/a,,91.14,24.89,12,0.79,4.72,1.06,3.25,16.80,-37.80,2.49,-5.90,5.28,"4,170",12.6,0.65,(11.4),13.5 ,89.6 ,0.72,0.73,0.77,0.81,0.86,3.90,19.8,0.45 ,10.6,-13.8,2.6,-1.9,,2002,1,8
Franco-Nevada Corp.,FNV,Materials,Metals & Mining,11,311,-,-,77.64,1.24,0.2400,4,0.96,C29,0.2300,6-13-18,6-28-18,4.35,4.4 ,4.6 ,5.7 ,n/a,n/a,n/a,"Canadian,US$",84.21,68.11,12,1.14,8.87,21.60,3.05,n/a,14.90,6.50,-2.89,7.67,"14,470",2.0,n/a,(61.2),6.9 ,203.8 ,1.05,1.11,1.20,1.29,1.39,6.04,7.8,n/a,33.3,0.4,10.5,12.7,,2008,1,n/a
General Mills,GIS,Consumer Staples,Food Products,15,230,N,N,44.44,4.41,0.4900,4,1.96,B01,0.4800,7-6-17,8-1-17,2.08,1.0 ,4.2 ,6.7 ,9.0 ,0.737 ,n/a,2018 = Year 15,77.47,17.57,5,2.53,2.90,1.64,4.00,33.90,-1.00,5.57,-0.30,6.05,"26,660",0.1,2.29,(6.5),11.1 ,76.7 ,1.98,2.09,2.22,2.35,2.49,11.13,25.0,0.71 ,22.0,-24.7,8.4,2.1,,2005,1,7.1
Graco Inc.,GGG,Industrials,Machinery,22,155,N,N,43.33,1.48,0.1600,4,0.64,B07,0.1325,1-18-19,2-6-19,20.75,10.0 ,9.7 ,9.6 ,7.9 ,1.218 ,0.220,,32.82,22.22,12,1.95,2.78,4.42,9.10,41.10,594.20,7.52,43.80,8.00,"7,170",0.2,0.34,(11.1),11.1 ,199.8 ,0.58,0.62,0.67,0.73,0.79,3.39,7.8,1.00 ,16.0,-10.4,2.8,-2.6,,1998,2,20.8
Hanover Insurance Group (The),THG,Financials,Insurance,14,279,-,-,114.04,2.10,0.6000,4,2.40,C29,0.5400,12-14-18,12-28-18,11.11,8.8 ,9.5 ,10.3 ,17.3 ,0.595 ,0.265,,31.75,15.08,12,7.56,n/a,1.03,1.63,11.30,45.00,21.93,38.80,-1.10,"4,880",0.2,0.26,(2.7),12.4 ,4.5 ,2.44,2.69,2.71,2.74,2.77,13.35,11.7,0.76 ,13.8,-9.5,5.3,0.8,,2006,1,2.2
Harris Corp.,HRS,Industrials,Aerospace & Defense,17,192,N,N,153.18,1.79,0.6850,4,2.74,C22,0.5700,9-6-18,9-21-18,20.18,14.1 ,9.0 ,9.7 ,13.6 ,0.712 ,1.470,,44.55,24.91,6,6.15,1.45,2.86,5.57,24.40,12.20,13.56,6.60,17.21,"18,060",0.4,1.24,(13.4),11.5 ,148.3 ,2.76,3.04,3.34,3.67,4.04,16.86,11.0,1.18 ,24.3,-12.7,9.1,0.1,,2002,1,7.8
Hasbro Inc.,HAS,Consumer Discretionary,Leisure Products,15,239,Y,Y,90.56,2.78,0.6300,4,2.52,B15,0.5700,4-30-18,5-15-18,10.53,10.8 ,10.8 ,9.5 ,12.5 ,0.765 ,0.558,,57.40,20.63,12,4.39,5.10,2.37,6.10,11.70,29.30,18.43,17.10,4.05,"11,360",0.4,0.91,(8.3),12.3 ,136.5 ,2.71,2.98,3.10,3.22,3.35,15.36,17.0,0.98 ,17.9,-17.4,3.8,-3.0,,2004,1,4
Hawkins Inc.,HWKN,Materials,Chemicals,14,268,N,N,41.49,2.17,0.2250,4,0.90,B31,0.2200,8-16-18,8-31-18,2.27,3.5 ,4.5 ,4.9 ,5.9 ,0.829 ,n/a,Switch to quarterly div,n/a,n/a,3,-1.66,n/a,0.81,2.03,-1.70,-202.20,n/a,-27.30,n/a,438,1.3,0.39,n/a,7.1 ,n/a,0.90,0.93,0.95,0.98,1.01,4.77,11.5,0.87 ,35.8,-5.8,0.3,9.0,,2005,1,-0.9
HDFC Bank Limited,HDB,Financials,Banks,17,189,-,-,98.22,0.56,0.5470,1,0.55,July,0.4940,6-1-18,7-11-18,10.73,11.0 ,13.5 ,12.3 ,16.6 ,0.740 ,0.572,India,18.93,33.99,3,2.89,1.13,6.70,5.11,n/a,25.20,19.94,21.40,30.00,"79,600",n/a,0.79,(21.2),12.8 ,177.8 ,0.60,0.66,0.73,0.80,0.88,3.67,3.7,0.67 ,15.0,-12.4,-2.0,-0.9,,2002,1,n/a
Healthcare Services Group Inc.,HCSG,Industrials,Commercial Services & Supplies,16,218,N,-,43.62,1.79,0.1950,4,0.78,C29,0.1938,11-21-18,12-28-18,0.62,2.7 ,2.7 ,2.8 ,7.2 ,0.392 ,0.199,,75.73,42.35,12,1.03,2.75,1.61,7.69,17.80,18.40,14.91,14.10,15.44,"3,240",0.2,0.02,(37.7),4.6 ,280.4 ,0.85,0.93,1.03,1.13,1.24,5.19,11.9,0.89 ,24.5,-21.4,2.0,5.8,,2003,1,10.7
HEICO Corp.,HEI,Industrials,Aerospace & Defense,12,303,-,-,84.50,0.17,0.0700,2,0.14,JaJl,0.0600,1-2-19,1-17-19,16.67,7.7 ,13.5 ,14.5 ,17.4 ,0.830 ,0.796,,7.73,46.69,10,1.81,3.11,5.53,8.03,19.80,31.80,10.82,18.20,15.04,"9,820",5.0,0.38,(32.0),14.6 ,308.2 ,0.12,0.13,0.14,0.15,0.17,0.70,0.8,0.83 ,44.8,-10.2,6.0,6.0,,2008,1,9.9
Hillenbrand Inc.,HI,Industrials,Machinery,12,300,-,-,42.40,1.98,0.2100,4,0.84,C29,0.2075,12-14-18,12-31-18,1.20,1.0 ,1.2 ,1.2 ,4.2 ,0.287 ,0.189,FY Streak,56.76,28.65,9,1.48,2.29,1.50,3.64,10.60,-30.40,9.31,6.40,12.50,"2,660",0.4,0.47,(25.5),3.2 ,115.3 ,0.84,0.92,1.01,1.11,1.22,5.10,12.0,1.28 ,17.1,-20.6,4.1,-10.0,,2008,1,3.9
Hingham Institution for Savings,HIFS,Financials,Thrifts & Mortgage Finance,12,302,-,-,184.90,0.80,0.3700,4,1.48,A18,0.3600,1-4-19,1-16-19,2.78,6.9 ,6.8 ,5.8 ,5.5 ,1.040 ,0.418,,10.65,13.30,12,13.90,n/a,4.22,1.88,15.20,9.40,n/a,13.80,n/a,398,3.0,0.00,(6.7),6.6 ,5.4 ,1.52,1.57,1.61,1.66,1.71,8.07,4.4,0.82 ,2.6,-19.4,-8.8,-12.4,,2008,1,1.3
Holly Energy Partners LP,HEP,Energy,"Oil, Gas & Consumable Fuels",15,254,-,-,30.68,8.70,0.6675,4,2.67,B10,0.6650,2-1-19,2-14-19,0.38,5.0 ,6.7 ,6.4 ,5.9 ,1.088 ,0.532,,120.81,13.88,12,2.21,n/a,6.38,7.24,48.20,34.80,6.50,12.10,-5.19,"3,210",0.1,3.17,1.3 ,15.1 ,111.4 ,2.89,3.08,3.11,3.14,3.17,15.40,50.2,0.84 ,17.6,-9.8,5.2,2.9,,2005,1,10.2
Honat Bancorp Inc.,HONT,Financials,Banks,14,276,-,-,105.30,1.67,0.4400,4,1.76,B30,0.4100,11-14-18,11-30-18,7.32,34.1 ,15.6 ,10.8 ,12.4 ,0.868 ,n/a,,n/a,n/a,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.5 ,n/a,1.72,1.77,1.82,1.88,1.94,9.13,8.7,n/a,n/a,n/a,n/a,n/a,OTC,2005,1,n/a
Hubbell Inc.,HUBB,Industrials,Electrical Equipment,11,316,N,N,109.33,3.07,0.8400,4,3.36,C15,0.7700,11-29-18,12-14-18,9.09,9.8 ,12.0 ,11.2 ,8.8 ,1.282 ,6.607,,52.91,17.22,12,6.35,1.72,1.40,3.40,17.30,3.60,6.93,1.70,10.00,"5,970",0.5,1.10,(2.9),14.3 ,61.3 ,3.26,3.49,3.84,4.22,4.64,19.46,17.8,1.38 ,19.0,-22.0,5.5,-3.3,,2009,0,6.2
Inter Parfums Inc.,IPAR,Consumer Staples,Personal Products,10,329,-,-,66.46,1.66,0.2750,4,1.10,A15,0.2100,12-28-18,1-15-19,30.95,23.5 ,18.1 ,13.8 ,20.2 ,0.683 ,n/a,,67.48,40.77,12,1.63,3.40,3.15,4.63,11.30,27.60,13.35,-20.40,12.00,"2,040",0.4,0.12,(25.3),15.5 ,189.7 ,0.92,1.02,1.12,1.23,1.35,5.64,8.5,0.90 ,60.9,-1.5,7.9,13.8,,2010,0,6.4
International Business Machines,IBM,Information Technology,IT Services,23,145,Y,Y,134.42,4.67,1.5700,4,6.28,C09,1.5000,5-9-18,6-9-18,4.67,5.3 ,7.5 ,10.9 ,12.6 ,0.868 ,n/a,,53.36,11.42,12,11.77,11.90,1.54,6.19,31.10,-3.30,1.65,-4.00,0.96,"122,480",0.1,2.37,4.2 ,15.6 ,77.3 ,6.27,6.38,6.44,6.50,6.56,32.14,23.9,1.20 ,26.9,-18.5,11.4,-1.9,,1996,2,4.7
International Flavors & Fragrances,IFF,Materials,Chemicals,16,215,N,N,141.78,2.06,0.7300,4,2.92,A06,0.6900,9-21-18,10-5-18,5.80,7.3 ,12.4 ,14.7 ,11.5 ,1.275 ,1.215,,56.15,27.27,12,5.20,2.87,4.17,2.86,12.30,8.20,4.98,12.10,9.50,"15,050",18.9,1.09,(10.5),16.8 ,86.2 ,3.03,3.18,3.48,3.81,4.18,17.68,12.5,0.85 ,16.1,-6.3,4.0,6.1,,2003,1,4.8
International Speedway Corp.,ISCA,Consumer Discretionary,"Hotels, Restaurants & Leisure",13,287,-,-,43.45,1.08,0.4700,1,0.47,Jun,0.4300,5-30-18,6-29-18,9.30,9.3 ,21.8 ,16.4 ,14.6 ,1.121 ,1.018,,16.10,14.88,11,2.92,1.79,2.72,1.17,16.50,49.50,5.26,16.10,8.30,"1,920",0.5,0.16,2.6 ,17.5 ,(12.0),0.52,0.54,0.59,0.64,0.69,2.98,6.9,0.91 ,23.7,-13.0,0.6,2.2,,2006,1,11.5
Isabella Bank Corp.,ISBA,Financials,Banks,13,282,-,-,23.00,4.52,0.2600,4,1.04,C29,0.2500,9-26-17,9-29-17,4.00,2.0 ,3.4 ,4.4 ,8.0 ,0.543 ,n/a,2018 = Year 14,n/a,n/a,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.9 ,n/a,1.07,1.10,1.14,1.17,1.21,5.69,24.7,n/a,n/a,n/a,n/a,n/a,OTC,2007,1,n/a
J&J Snack Foods Corp.,JJSF,Consumer Staples,Food Products,15,252,-,-,154.35,1.30,0.5000,4,2.00,A04,0.4500,12-17-18,1-4-19,11.11,7.1 ,7.7 ,23.0 ,17.1 ,1.340 ,7.180,,50.25,38.78,9,3.98,6.46,2.57,3.81,14.20,-5.30,6.38,3.20,6.00,"2,920",20.1,0.00,(14.5),24.3 ,156.3 ,1.82,1.93,2.05,2.17,2.30,10.28,6.7,0.48 ,22.5,-5.2,3.3,4.3,,2005,1,11.5
J.M. Smucker Co.,SJM,Consumer Staples,Food Products,21,158,N,Y,104.88,3.24,0.8500,4,3.40,C01,0.7800,8-16-18,9-4-18,8.97,6.5 ,7.6 ,8.2 ,10.0 ,0.821 ,n/a,,67.86,20.93,4,5.01,2.49,1.57,1.48,16.80,-1.80,2.76,0.00,8.40,"11,970",1.1,0.78,(9.5),11.4 ,17.3 ,3.29,3.38,3.67,3.98,4.31,18.63,17.8,0.50 ,14.9,-21.4,3.0,-2.2,,1998,2,8.2
JB Hunt Transport Services Inc.,JBHT,Industrials,Road & Rail,16,227,-,-,107.04,0.97,0.2600,4,1.04,B23,0.2400,2-7-19,2-22-19,8.33,4.3 ,4.6 ,9.9 ,9.1 ,1.077 ,0.503,,24.13,24.84,12,4.31,1.72,1.34,5.62,38.30,65.70,10.71,19.60,14.41,"11,500",2.5,0.51,(14.0),10.8 ,149.1 ,1.06,1.16,1.28,1.41,1.55,6.45,6.0,1.05 ,21.1,-18.8,7.5,-7.0,,2004,1,16.6
Kellogg Company,K,Consumer Staples,Food Products,15,247,N,N,59.01,3.80,0.5600,4,2.24,C15,0.5400,8-31-18,9-17-18,3.70,3.8 ,3.6 ,4.1 ,5.4 ,0.758 ,0.640,,42.11,11.09,12,5.32,3.31,1.52,6.72,69.70,85.50,-0.14,6.40,3.35,"20,440",0.7,2.93,(3.2),7.9 ,82.0 ,2.42,2.44,2.53,2.61,2.70,12.70,21.5,0.56 ,7.1,-21.3,-0.8,-10.3,,2004,1,10.7
Kroger Company,KR,Consumer Staples,Food & Staples Retailing,13,289,-,-,28.33,1.98,0.1400,4,0.56,C01,0.1250,8-14-18,9-1-18,12.00,8.2 ,10.3 ,11.5 ,11.9 ,0.968 ,n/a,,16.97,8.58,1,3.30,1.56,0.19,2.95,50.70,-47.60,5.74,-5.00,5.51,"23,070",0.6,1.96,4.9 ,13.5 ,6.1 ,0.54,0.57,0.60,0.63,0.66,2.99,10.6,0.76 ,24.0,-13.5,-1.6,0.4,,2006,1,9.9
L3 Technologies Inc.,LLL,Industrials,Aerospace & Defense,15,232,-,-,196.88,1.63,0.8000,4,3.20,C15,0.7500,2-28-18,3-15-18,6.67,6.7 ,7.2 ,7.8 ,10.8 ,0.724 ,7.074,,29.74,18.30,12,10.76,1.16,1.72,2.74,20.00,7.80,11.63,1.10,15.80,"15,460",0.5,0.00,(8.9),9.4 ,49.3 ,3.45,3.79,4.17,4.59,5.05,21.06,10.7,1.19 ,24.0,-12.0,9.3,-0.3,,2004,1,8.2
Landmark Bancorp Inc.,LARK,Financials,Banks,17,181,-,-,23.13,3.46,0.2000,4,0.80,C07,0.1905,2-20-18,3-7-18,5.00,10.3 ,6.8 ,6.1 ,5.5 ,1.098 ,n/a,Adj/Stk Div,34.63,10.01,12,2.31,n/a,3.11,1.16,12.10,-55.90,n/a,-10.50,n/a,99,15.7,0.41,(0.5),9.5 ,(28.2),0.81,0.83,0.86,0.88,0.91,4.29,18.5,0.47 ,10.1,-17.6,-1.6,-11.9,,2002,1,1.1
Landstar System Inc.,LSTR,Industrials,Road & Rail,14,269,-,-,101.58,0.65,0.1650,4,0.66,C16,0.1500,8-10-18,8-31-18,10.00,65.8 ,28.1 ,20.3 ,15.1 ,1.349 ,2.986,,13.81,21.25,12,4.78,1.07,0.93,5.77,36.80,15.30,5.21,6.80,19.87,"4,180",0.2,0.21,(0.3),21.0 ,133.4 ,0.69,0.73,0.80,0.88,0.97,4.08,4.0,1.18 ,12.6,-21.1,1.4,-6.7,,2005,1,18.7
